	time	perturbation	cell_type
F8.4_epithelium_colon-epithelium_duojejunum	F8.4	colon	epithelium
F8.4_epithelium_ileum-epithelium_duojejunum	F8.4	ileum	epithelium
F8.4_immune_colon-immune_duojejunum	F8.4	colon	immune
F8.4_immune_ileum-immune_duojejunum	F8.4	ileum	immune
F8.4_mesenchymal_colon-mesenchymal_duojejunum	F8.4	colon	mesenchymal
F8.4_mesenchymal_ileum-mesenchymal_duojejunum	F8.4	ileum	mesenchymal
F8.4_vasculature_colon-vasculature_duojejunum	F8.4	colon	vasculature
F8.4_vasculature_ileum-vasculature_duojejunum	F8.4	ileum	vasculature
F10_epithelium_colon-epithelium_duojejunum	F10	colon	epithelium
F10_epithelium_ileum-epithelium_duojejunum	F10	ileum	epithelium
F10_immune_colon-immune_duojejunum	F10	colon	immune
F10_immune_ileum-immune_duojejunum	F10	ileum	immune
F10_mesenchymal_colon-mesenchymal_duojejunum	F10	colon	mesenchymal
F10_mesenchymal_ileum-mesenchymal_duojejunum	F10	ileum	mesenchymal
F10_vasculature_colon-vasculature_duojejunum	F10	colon	vasculature
F10_vasculature_ileum-vasculature_duojejunum	F10	ileum	vasculature
F6.9_epithelium_colon-epithelium_duojejunum	F6.9	colon	epithelium
F6.9_epithelium_ileum-epithelium_duojejunum	F6.9	ileum	epithelium
F6.9_mesenchymal_colon-mesenchymal_duojejunum	F6.9	colon	mesenchymal
F6.9_mesenchymal_ileum-mesenchymal_duojejunum	F6.9	ileum	mesenchymal
F9.2_epithelium_colon-epithelium_duojejunum	F9.2	colon	epithelium
F9.2_epithelium_ileum-epithelium_duojejunum	F9.2	ileum	epithelium
F9.2_mesenchymal_colon-mesenchymal_duojejunum	F9.2	colon	mesenchymal
F9.2_mesenchymal_ileum-mesenchymal_duojejunum	F9.2	ileum	mesenchymal
F9.9_epithelium_colon-epithelium_duojejunum	F9.9	colon	epithelium
F9.9_epithelium_ileum-epithelium_duojejunum	F9.9	ileum	epithelium
F9.9_immune_colon-immune_duojejunum	F9.9	colon	immune
F9.9_immune_ileum-immune_duojejunum	F9.9	ileum	immune
F9.9_mesenchymal_colon-mesenchymal_duojejunum	F9.9	colon	mesenchymal
F9.9_mesenchymal_ileum-mesenchymal_duojejunum	F9.9	ileum	mesenchymal
F9.9_vasculature_colon-vasculature_duojejunum	F9.9	colon	vasculature
F9.9_vasculature_ileum-vasculature_duojejunum	F9.9	ileum	vasculature
F6.1_mesenchymal_colon-mesenchymal_duojejunum	F6.1	colon	mesenchymal
F6.1_mesenchymal_ileum-mesenchymal_duojejunum	F6.1	ileum	mesenchymal
F6.1_vasculature_colon-vasculature_duojejunum	F6.1	colon	vasculature
F6.1_vasculature_ileum-vasculature_duojejunum	F6.1	ileum	vasculature
F10.2_epithelium_colon-epithelium_duojejunum	F10.2	colon	epithelium
F10.2_epithelium_ileum-epithelium_duojejunum	F10.2	ileum	epithelium
F6.7_epithelium_colon-epithelium_duojejunum	F6.7	colon	epithelium
F6.7_epithelium_ileum-epithelium_duojejunum	F6.7	ileum	epithelium
F6.7_mesenchymal_colon-mesenchymal_duojejunum	F6.7	colon	mesenchymal
F6.7_mesenchymal_ileum-mesenchymal_duojejunum	F6.7	ileum	mesenchymal
F7.9_epithelium_colon-epithelium_duojejunum	F7.9	colon	epithelium
F7.9_epithelium_ileum-epithelium_duojejunum	F7.9	ileum	epithelium
F7.9_mesenchymal_colon-mesenchymal_duojejunum	F7.9	colon	mesenchymal
F7.9_mesenchymal_ileum-mesenchymal_duojejunum	F7.9	ileum	mesenchymal
