	"names"	"clusters"
"1"	"AADAC"	9
"2"	"AAED1"	1
"3"	"AASDHPPT"	16
"4"	"AATK"	9
"5"	"ABCA5"	18
"6"	"ABCD3"	14
"7"	"ABCD4"	19
"8"	"ABCG2"	16
"9"	"ABHD11"	10
"10"	"ABHD12"	10
"11"	"ABHD4"	10
"12"	"ABHD8"	10
"13"	"ABO"	15
"14"	"ABTB1"	2
"15"	"AC004556_1"	1
"16"	"AC007325_4"	1
"17"	"AC007405_6"	10
"18"	"AC009014_3"	7
"19"	"AC011298_2"	9
"20"	"AC020571_3"	2
"21"	"AC062017_1"	1
"22"	"AC090498_1"	3
"23"	"AC093323_3"	19
"24"	"AC114730_3"	16
"25"	"ACAA1"	9
"26"	"ACAA2"	10
"27"	"ACADVL"	9
"28"	"ACAP3"	10
"29"	"ACAT1"	10
"30"	"ACAT2"	17
"31"	"ACD"	9
"32"	"ACE"	12
"33"	"ACE2"	18
"34"	"ACO2"	9
"35"	"ACOT7"	1
"36"	"ACOT9"	10
"37"	"ACOX1"	18
"38"	"ACP2"	9
"39"	"ACP5"	12
"40"	"ACSL3"	10
"41"	"ACSL5"	9
"42"	"ACSS2"	16
"43"	"ACTA2"	15
"44"	"ACTB"	16
"45"	"ACTG2"	12
"46"	"ACTN1"	2
"47"	"ACTR6"	16
"48"	"ADA"	18
"49"	"ADAM19"	19
"50"	"ADAM28"	19
"51"	"ADAMTS1"	19
"52"	"ADAMTS6"	17
"53"	"ADARB1"	16
"54"	"ADD3"	15
"55"	"ADGRD1"	16
"56"	"ADGRG6"	9
"57"	"ADGRL2"	15
"58"	"ADGRL3"	1
"59"	"ADH1C"	18
"60"	"ADIRF"	2
"61"	"ADK"	16
"62"	"ADORA2A_AS1"	2
"63"	"ADTRP"	17
"64"	"AEBP1"	1
"65"	"AES"	18
"66"	"AFF1"	12
"67"	"AFM"	12
"68"	"AFP"	3
"69"	"AGL"	2
"70"	"AGO4"	16
"71"	"AGPAT2"	9
"72"	"AGR2"	1
"73"	"AGR3"	9
"74"	"AGRN"	19
"75"	"AGT"	8
"76"	"AGTR1"	1
"77"	"AGTRAP"	10
"78"	"AHNAK"	1
"79"	"AHR"	16
"80"	"AHSP"	2
"81"	"AIF1"	14
"82"	"AIF1L"	1
"83"	"AJUBA"	6
"84"	"AK1"	6
"85"	"AK2"	10
"86"	"AKAP1"	19
"87"	"AKAP10"	1
"88"	"AKAP12"	4
"89"	"AKAP13"	19
"90"	"AKAP7"	8
"91"	"AKAP9"	6
"92"	"AKIRIN2"	16
"93"	"AKR1B1"	15
"94"	"AKT3"	6
"95"	"ALCAM"	2
"96"	"ALDH1A1"	5
"97"	"ALDH1B1"	8
"98"	"ALDH1L1"	12
"99"	"ALDH2"	10
"100"	"ALDH6A1"	15
"101"	"ALDOA"	8
"102"	"ALDOB"	3
"103"	"ALDOC"	15
"104"	"ALG12"	9
"105"	"ALKBH4"	1
"106"	"ALOX15B"	12
"107"	"AMBP"	3
"108"	"AMD1"	15
"109"	"AMHR2"	15
"110"	"AMN"	9
"111"	"AMOTL2"	15
"112"	"ANAPC7"	1
"113"	"ANG"	10
"114"	"ANGPTL3"	9
"115"	"ANK2"	15
"116"	"ANKRD11"	4
"117"	"ANKRD26"	19
"118"	"ANKRD29"	1
"119"	"ANKRD36"	14
"120"	"ANKRD36C"	2
"121"	"ANKS4B"	10
"122"	"ANKZF1"	2
"123"	"ANO1"	16
"124"	"ANO6"	1
"125"	"ANP32E"	10
"126"	"ANPEP"	18
"127"	"ANXA10"	9
"128"	"ANXA13"	3
"129"	"ANXA2"	9
"130"	"ANXA3"	10
"131"	"ANXA4"	6
"132"	"ANXA5"	16
"133"	"ANXA6"	19
"134"	"AP1M1"	10
"135"	"AP1S2"	12
"136"	"AP2B1"	4
"137"	"AP3S1"	16
"138"	"APBA2"	19
"139"	"APBB1"	8
"140"	"APLP2"	10
"141"	"APMAP"	6
"142"	"APOA1"	10
"143"	"APOA1BP"	16
"144"	"APOA2"	13
"145"	"APOA4"	7
"146"	"APOB"	6
"147"	"APOBEC3C"	19
"148"	"APOC2"	9
"149"	"APOC3"	1
"150"	"APOD"	11
"151"	"APOE"	20
"152"	"APOH"	15
"153"	"APOM"	10
"154"	"APP"	19
"155"	"AQP10"	1
"156"	"AQP3"	10
"157"	"AQP7"	9
"158"	"AREG"	17
"159"	"ARF5"	15
"160"	"ARGLU1"	15
"161"	"ARHGAP11A"	2
"162"	"ARHGAP11B"	19
"163"	"ARHGAP12"	2
"164"	"ARHGAP18"	18
"165"	"ARHGAP27"	1
"166"	"ARHGAP29"	16
"167"	"ARHGEF16"	9
"168"	"ARHGEF17"	4
"169"	"ARHGEF38"	15
"170"	"ARHGEF40"	14
"171"	"ARID3A"	9
"172"	"ARID4A"	1
"173"	"ARID5B"	13
"174"	"ARIH2OS"	16
"175"	"ARL10"	16
"176"	"ARL13B"	4
"177"	"ARL3"	16
"178"	"ARL4A"	9
"179"	"ARL4C"	15
"180"	"ARL6IP5"	19
"181"	"ARL6IP6"	10
"182"	"ARMC8"	2
"183"	"ARMCX1"	8
"184"	"ARPC1B"	16
"185"	"ARRDC1"	9
"186"	"ARRDC3"	4
"187"	"ARRDC4"	18
"188"	"ARSA"	18
"189"	"ARSE"	6
"190"	"ASAH2"	18
"191"	"ASAP1"	15
"192"	"ASB9"	18
"193"	"ASCL2"	4
"194"	"ASGR1"	6
"195"	"ASGR2"	13
"196"	"ASH1L"	19
"197"	"ASPM"	14
"198"	"ASPN"	15
"199"	"ASRGL1"	15
"200"	"ASS1"	6
"201"	"ATAD2"	19
"202"	"ATF3"	10
"203"	"ATF6B"	9
"204"	"ATOH1"	1
"205"	"ATOX1"	2
"206"	"ATP1A1"	9
"207"	"ATP1B1"	15
"208"	"ATP1B3"	9
"209"	"ATP2C1"	16
"210"	"ATP5A1"	16
"211"	"ATP5E"	18
"212"	"ATP5EP2"	12
"213"	"ATP5I"	18
"214"	"ATP5J2"	18
"215"	"ATP6AP2"	6
"216"	"ATP6V0A1"	19
"217"	"ATP6V0E2"	16
"218"	"ATP6V1B2"	13
"219"	"ATP6V1F"	15
"220"	"ATP6V1H"	6
"221"	"ATP7B"	18
"222"	"ATP8A1"	10
"223"	"ATPAF1"	4
"224"	"ATRN"	18
"225"	"ATRX"	10
"226"	"ATXN7L3B"	1
"227"	"AURKB"	1
"228"	"AVP"	2
"229"	"AXIN2"	19
"230"	"AXL"	1
"231"	"B2M"	20
"232"	"B3GALNT2"	19
"233"	"B3GALT5"	9
"234"	"B3GAT2"	1
"235"	"B3GNT2"	10
"236"	"B3GNT3"	9
"237"	"B3GNT5"	9
"238"	"B4GALT1"	9
"239"	"B4GALT4"	19
"240"	"BACE1_AS"	16
"241"	"BACE2"	15
"242"	"BAD"	10
"243"	"BAG2"	19
"244"	"BAIAP2L1"	6
"245"	"BAIAP2L2"	6
"246"	"BAMBI"	10
"247"	"BANF1"	16
"248"	"BASP1"	16
"249"	"BAZ1B"	4
"250"	"BAZ2B"	2
"251"	"BCAM"	6
"252"	"BCAP29"	2
"253"	"BCAP31"	9
"254"	"BCAR1"	16
"255"	"BCAS1"	4
"256"	"BCAS4"	10
"257"	"BCHE"	15
"258"	"BCL11A"	19
"259"	"BCL2"	10
"260"	"BCL7C"	16
"261"	"BCO2"	9
"262"	"BDH1"	10
"263"	"BEND5"	4
"264"	"BEX1"	17
"265"	"BEX2"	15
"266"	"BEX5"	13
"267"	"BHLHE40"	12
"268"	"BHLHE41"	1
"269"	"BICC1"	10
"270"	"BIN1"	10
"271"	"BIRC5"	16
"272"	"BLMH"	8
"273"	"BLOC1S2"	16
"274"	"BMP2"	10
"275"	"BMP2K"	15
"276"	"BMP4"	2
"277"	"BMP5"	18
"278"	"BMP7"	15
"279"	"BNIP3"	12
"280"	"BNIP3L"	15
"281"	"BPGM"	16
"282"	"BPTF"	4
"283"	"BRD4"	19
"284"	"BRD7"	4
"285"	"BRINP3"	15
"286"	"BSG"	9
"287"	"BST2"	2
"288"	"BTF3L4"	16
"289"	"BTG1"	1
"290"	"BTG2"	15
"291"	"BTG3"	4
"292"	"BTNL3"	16
"293"	"BTNL8"	12
"294"	"BZW1"	10
"295"	"C10orf10"	6
"296"	"C10orf107"	19
"297"	"C10orf35"	10
"298"	"C10orf54"	9
"299"	"C10orf76"	15
"300"	"C11orf1"	16
"301"	"C11orf24"	9
"302"	"C11orf73"	16
"303"	"C11orf86"	12
"304"	"C12orf49"	16
