	"names"	"clusters"
"1"	"A1CF"	12
"2"	"AADAC"	6
"3"	"AAED1"	19
"4"	"AAK1"	3
"5"	"AAMDC"	4
"6"	"AAMP"	3
"7"	"AATK"	19
"8"	"ABAT"	19
"9"	"ABCA2"	5
"10"	"ABCB1"	8
"11"	"ABCC2"	19
"12"	"ABCC3"	8
"13"	"ABCC5"	4
"14"	"ABCD3"	9
"15"	"ABCD4"	13
"16"	"ABCF1"	13
"17"	"ABHD11"	12
"18"	"ABHD12"	16
"19"	"ABHD14B"	13
"20"	"ABHD15"	19
"21"	"ABHD5"	19
"22"	"ABHD6"	19
"23"	"ABHD8"	4
"24"	"ABI2"	16
"25"	"ABO"	8
"26"	"ABRACL"	11
"27"	"ABTB1"	3
"28"	"AC004540_4"	4
"29"	"AC004556_1"	13
"30"	"AC009005_2"	4
"31"	"AC009014_3"	19
"32"	"AC009501_4"	9
"33"	"AC009948_5"	4
"34"	"AC011043_1"	4
"35"	"AC013461_1"	9
"36"	"AC020571_3"	9
"37"	"AC026471_6"	7
"38"	"AC074117_10"	1
"39"	"AC090498_1"	4
"40"	"AC093673_5"	4
"41"	"AC104389_1"	5
"42"	"AC114730_3"	5
"43"	"AC159540_1"	9
"44"	"ACAA1"	4
"45"	"ACAA2"	5
"46"	"ACAT1"	5
"47"	"ACAT2"	14
"48"	"ACE2"	12
"49"	"ACO1"	12
"50"	"ACO2"	12
"51"	"ACOT13"	4
"52"	"ACOT9"	7
"53"	"ACOX2"	19
"54"	"ACP5"	6
"55"	"ACSL5"	6
"56"	"ACSM3"	4
"57"	"ACSS2"	4
"58"	"ACSS3"	19
"59"	"ACTA2"	20
"60"	"ACTA2_AS1"	5
"61"	"ACTB"	4
"62"	"ACTC1"	9
"63"	"ACTG1"	5
"64"	"ACTG2"	17
"65"	"ACTN1"	9
"66"	"ACTR10"	3
"67"	"ACTR1B"	16
"68"	"ACTR8"	9
"69"	"ACVR1C"	19
"70"	"ACVR2B"	8
"71"	"ACVRL1"	3
"72"	"ACY3"	6
"73"	"ADAM10"	4
"74"	"ADAM17"	9
"75"	"ADAM19"	16
"76"	"ADAM28"	5
"77"	"ADAMTS1"	13
"78"	"ADAMTS6"	16
"79"	"ADAP1"	9
"80"	"ADARB1"	3
"81"	"ADAT2"	19
"82"	"ADD3"	12
"83"	"ADGRA3"	16
"84"	"ADGRD1"	13
"85"	"ADGRG6"	16
"86"	"ADGRG7"	12
"87"	"ADGRL2"	19
"88"	"ADGRL3"	5
"89"	"ADGRV1"	4
"90"	"ADH1C"	19
"91"	"ADIRF"	13
"92"	"ADORA2A_AS1"	19
"93"	"ADPGK"	4
