	"names"	"clusters"
"1"	"AARSD1"	3
"2"	"AASDHPPT"	7
"3"	"ABCB7"	5
"4"	"ABHD4"	7
"5"	"AC011043_1"	9
"6"	"AC013461_1"	16
"7"	"AC074117_10"	5
"8"	"AC090498_1"	11
"9"	"AC159540_1"	9
"10"	"AC240274_1"	20
"11"	"ACAD8"	9
"12"	"ACAP2"	14
"13"	"ACLY"	1
"14"	"ACOT2"	2
"15"	"ACOT7"	2
"16"	"ACOX1"	2
"17"	"ACTA2"	15
"18"	"ACTC1"	15
"19"	"ACTG1"	9
"20"	"ACTG2"	15
"21"	"ACTN1"	16
"22"	"ACTR3"	2
"23"	"ADAM12"	1
"24"	"ADAM15"	12
"25"	"ADAM28"	11
"26"	"ADAMDEC1"	5
"27"	"ADAMTS1"	12
"28"	"ADAMTS19"	5
"29"	"ADAMTS2"	5
"30"	"ADAMTS5"	5
"31"	"ADAMTS8"	3
"32"	"ADARB1"	12
"33"	"ADD3"	7
"34"	"ADGRB3"	13
"35"	"ADGRG6"	16
"36"	"ADGRL1"	2
"37"	"ADGRL2"	20
"38"	"ADGRL3"	5
"39"	"ADM"	5
"40"	"AES"	5
"41"	"AFP"	15
"42"	"AGAP1"	1
"43"	"AGAP2_AS1"	12
"44"	"AGO2"	1
"45"	"AGPAT2"	7
"46"	"AGR2"	17
"47"	"AGR3"	1
"48"	"AGRN"	7
"49"	"AHI1"	1
"50"	"AHNAK"	16
"51"	"AIF1"	7
"52"	"AK4"	3
"53"	"AKAP10"	20
"54"	"AKAP12"	3
"55"	"AKAP6"	1
"56"	"AKR1B1"	11
"57"	"ALCAM"	1
"58"	"ALDH16A1"	20
"59"	"ALDH18A1"	12
"60"	"ALDH1A1"	17
"61"	"ALDH1A2"	5
"62"	"ALDH1A3"	7
"63"	"ALDH1B1"	16
"64"	"ALKBH5"	13
"65"	"AMN"	7
"66"	"AMPH"	5
"67"	"ANK2"	3
"68"	"ANKRD36"	9
"69"	"ANKRD36C"	7
"70"	"ANKRD39"	2
"71"	"ANKRD50"	20
"72"	"ANLN"	16
"73"	"ANO1"	7
"74"	"ANOS1"	2
"75"	"ANP32E"	18
"76"	"ANXA1"	3
"77"	"ANXA13"	15
"78"	"ANXA2"	17
"79"	"ANXA3"	17
"80"	"ANXA4"	1
"81"	"ANXA5"	11
"82"	"ANXA8L1"	16
"83"	"AP1S2"	16
"84"	"AP3B1"	1
"85"	"APBB1"	1
"86"	"APBB2"	18
"87"	"APLP1"	1
"88"	"APOA1"	17
"89"	"APOA2"	20
"90"	"APOBEC3C"	3
"91"	"APOE"	17
"92"	"APOLD1"	5
