	"names"	"clusters"
"1"	"AAMDC"	4
"2"	"AASDHPPT"	7
"3"	"ABCA5"	20
"4"	"ABHD11"	20
"5"	"ABLIM1"	4
"6"	"AC004540_4"	7
"7"	"AC013461_1"	11
"8"	"AC073283_4"	2
"9"	"AC074117_10"	16
"10"	"AC090498_1"	11
"11"	"AC113189_5"	2
"12"	"AC159540_1"	14
"13"	"AC240274_1"	16
"14"	"ACADVL"	20
"15"	"ACAP2"	1
"16"	"ACAT2"	13
"17"	"ACKR3"	2
"18"	"ACO2"	20
"19"	"ACOT13"	3
"20"	"ACOT7"	13
"21"	"ACTA2"	11
"22"	"ACTB"	13
"23"	"ACTC1"	19
"24"	"ACTG2"	11
"25"	"ACTN1"	13
"26"	"ACTN4"	9
"27"	"ACTR1B"	13
"28"	"ACTR3"	16
"29"	"ACVR2B"	18
"30"	"ACVRL1"	6
"31"	"ADAM15"	14
"32"	"ADAM28"	17
"33"	"ADAM33"	20
"34"	"ADAMDEC1"	1
"35"	"ADAMTS1"	10
"36"	"ADAMTS12"	20
"37"	"ADAMTS18"	15
"38"	"ADAMTS5"	3
"39"	"ADAMTS6"	2
"40"	"ADAMTS8"	13
"41"	"ADAMTS9"	3
"42"	"ADAMTSL3"	16
"43"	"ADGRA2"	14
"44"	"ADGRB3"	19
"45"	"ADGRG6"	3
"46"	"ADGRL3"	16
"47"	"ADH5"	20
"48"	"ADI1"	13
"49"	"ADK"	7
"50"	"ADRB3"	20
"51"	"AFAP1L2"	20
"52"	"AFF1"	2
"53"	"AFF3"	2
"54"	"AFMID"	18
"55"	"AFP"	1
"56"	"AGR2"	10
"57"	"AGTRAP"	7
"58"	"AHCY"	13
"59"	"AHNAK"	3
"60"	"AHNAK2"	2
"61"	"AHR"	3
"62"	"AHSA1"	7
"63"	"AIF1"	18
"64"	"AIF1L"	13
"65"	"AIG1"	9
"66"	"AIMP2"	20
"67"	"AK1"	20
"68"	"AKAP12"	13
"69"	"AKAP17A"	2
"70"	"AKAP9"	7
"71"	"AKIP1"	14
"72"	"AKR1A1"	7
"73"	"ALCAM"	10
"74"	"ALDH1A1"	10
"75"	"ALDH1A2"	16
"76"	"ALDH1A3"	1
"77"	"ALDH2"	7
"78"	"ALDOA"	9
"79"	"ALKBH5"	13
"80"	"ALPL"	1
"81"	"AMD1"	16
"82"	"AMOTL2"	4
"83"	"ANGPT1"	4
"84"	"ANGPT2"	3
"85"	"ANGPTL4"	3
